rank,primary_brand,total_products,healthy_products,healthy_frac,avg_protein,avg_sugar
663,Cascadian Farm,20,0,0.0,8.5,24.8
664,Hilco,20,0,0.0,0.1,72.7
665,Milka,20,0,0.0,6.1,47.8
666,Van'S,20,0,0.0,6.9,15.1
667,Warheads,20,0,0.0,0.3,57.8
668,Chase And Poe Candy Company,19,0,0.0,3.8,53.2
669,Everson Distributing Co.  Inc.,19,0,0.0,1.3,69.8
670,Jolly Rancher,19,0,0.0,0.2,54.0
671,La Bree'S Bakery,19,0,0.0,3.3,37.7
672,Panda,19,0,0.0,3.1,44.5
673,Vista Bakery  Inc.,19,0,0.0,4.6,31.0
674,Bee International  Inc.,18,0,0.0,0.0,83.6
675,Eggo,18,0,0.0,6.3,12.2
676,Lady Sarah,18,0,0.0,4.4,45.2
677,Maryland,18,0,0.0,5.5,29.5
678,Nestle,18,0,0.0,6.0,47.5
679,Pop Tarts,18,0,0.0,4.1,31.3
680,Smarties,18,0,0.0,0.9,82.0
681,Vachon,18,0,0.0,3.0,42.8
682,York,18,0,0.0,2.8,63.2
683,Bon Appetit,17,0,0.0,5.2,21.7
684,Bonne Maman,17,0,0.0,2.5,53.4
685,Dawn Food Products  Inc.,17,0,0.0,3.6,41.4
686,Flix Candy,17,0,0.0,1.7,71.0
687,Franz,17,0,0.0,3.9,29.2
688,Giant Eagle  Inc.,17,0,0.0,4.2,55.4
689,Musco Family Olive Co.,17,0,0.0,0.0,0.4
690,Nickelodeon,17,0,0.0,3.3,63.7
691,Palmer Candy Company,17,0,0.0,4.7,49.8
692,Pearson'S,17,0,0.0,9.4,54.9
693,Perfetti Van Melle Usa Inc.,17,0,0.0,0.0,24.9
694,Reese’S,17,0,0.0,9.9,44.0
695,Rice Krispies Treats,17,0,0.0,4.3,39.9
696,Arnie'S,16,0,0.0,4.1,29.7
697,Bijou,16,0,0.0,6.0,33.3
698,La Costena,16,0,0.0,1.1,4.7
699,Laffy Taffy,16,0,0.0,0.1,51.4
700,Maynards,16,0,0.0,1.9,67.7
701,New Desserts  Inc.,16,0,0.0,4.2,44.3
702,P.C. Woo  Inc.,16,0,0.0,0.8,58.2
703,Royal Dansk,16,0,0.0,4.8,30.8
704,Bimbo Bakeries Usa  Inc.,15,0,0.0,4.2,29.5
705,Gatorade,15,0,0.0,15.6,29.7
706,Grandma'S,15,0,0.0,6.4,29.2
707,Mcvitie'S,15,0,0.0,6.0,29.2
708,Mike-Sell'S,15,0,0.0,6.9,3.4
709,P$$T...,15,0,0.0,4.3,28.8
710,Spangler Candy Company,15,0,0.0,0.0,75.5
711,The Father'S Table Llc,15,0,0.0,4.1,28.1
712,Voortman Bakery,15,0,0.0,3.9,28.7
713,Bahlsen,14,0,0.0,6.4,32.3
714,Cracker Jack,14,0,0.0,4.5,49.1
715,Farmer'S Market,14,0,0.0,5.5,30.5
716,Frankford Candy  Llc,14,0,0.0,2.7,68.9
717,Free Range Snack Co,14,0,0.0,5.9,37.7
718,Ghirardelli,14,0,0.0,3.4,48.7
719,Hilco Llc,14,0,0.0,0.3,72.4
720,Lesley Stowe,14,0,0.0,14.2,21.7
721,Maplehurst Bakeries  Llc,14,0,0.0,3.0,42.0
722,New England Confectionery Company Inc.,14,0,0.0,1.6,72.1
723,Ritter Sport,14,0,0.0,6.3,46.0
724,Smuckers,14,0,0.0,0.2,48.0
725,Storck Usa Lp,14,0,0.0,6.3,40.8
726,Swedish Fish,14,0,0.0,0.0,71.6
727,Swiss Miss,14,0,0.0,2.9,49.9
728,Toblerone,14,0,0.0,5.6,54.0
729,Val Nature,14,0,0.0,8.9,18.9
730,Andes,13,0,0.0,4.2,54.1
731,Chex,13,0,0.0,6.8,11.0
732,European Gourmet Bakery,13,0,0.0,4.9,52.2
733,Gerber,13,0,0.0,4.1,19.1
734,Ice Breakers,13,0,0.0,0.0,28.8
735,Lil' Dutch Maid,13,0,0.0,4.3,29.4
736,Musselman'S,13,0,0.0,0.0,12.0
737,Paskesz Candy Company,13,0,0.0,3.6,37.2
738,Safeway,13,0,0.0,7.8,30.5
739,Se Grocers,13,0,0.0,7.5,25.6
740,Snak-King Corp.,13,0,0.0,8.6,16.9
741,Trumoo,13,0,0.0,4.3,9.7
742,Wiley Wallaby,13,0,0.0,2.5,41.2
743,Zachary Confections Inc,13,0,0.0,1.9,48.3
744,Zapp'S,13,0,0.0,6.5,3.2
745,American Licorice Company,12,0,0.0,1.7,42.6
746,Asian Gourmet,12,0,0.0,5.0,8.1
747,Dr. Oetker,12,0,0.0,5.1,49.0
748,Earth'S Best,12,0,0.0,6.2,23.2
749,Kellogg’S,12,0,0.0,6.6,32.7
750,Krispy Kreme Doughnuts,12,0,0.0,4.1,25.5
751,Lärabar,12,0,0.0,9.6,34.2
752,Special K,12,0,0.0,10.4,26.2
753,Sunrype,12,0,0.0,1.3,65.7
754,The Topps Company  Inc.,12,0,0.0,1.7,63.8
755,Tim Hortons,12,0,0.0,5.5,39.5
756,Turkey Hill,12,0,0.0,3.0,26.7
757,Waymouth Farms,12,0,0.0,2.5,56.0
758,Barrel O' Fun Snack Foods Co.,11,0,0.0,6.8,14.6
759,Clyde'S Donuts,11,0,0.0,4.4,20.3
760,Dave'S Killer Bread,11,0,0.0,10.9,15.6
761,Girl Scouts,11,0,0.0,5.6,30.9
762,Hershey’S,11,0,0.0,5.4,48.2
763,Hostess,11,0,0.0,4.9,18.8
764,Jewel,11,0,0.0,4.8,34.5
765,Kellogg'S Special K,11,0,0.0,21.3,23.0
766,Life Choice,11,0,0.0,6.2,12.8
767,M&Ms,11,0,0.0,6.1,58.3
768,Mccain,11,0,0.0,2.1,6.6
769,Midwood Brands,11,0,0.0,1.6,58.5
770,Nesquik,11,0,0.0,4.4,61.5
771,Patak'S,11,0,0.0,1.2,21.2
772,Peter Pan,11,0,0.0,22.9,14.6
773,Royal Wine Corporation,11,0,0.0,4.1,35.5
774,Santa Barbara Olive Co.,11,0,0.0,1.9,0.0
775,Sarris Candies,11,0,0.0,8.1,40.6
776,Sunmark,11,0,0.0,0.0,67.8
777,Sunsweet,11,0,0.0,1.7,31.9
778,Two Brothers,11,0,0.0,7.5,36.5
779,Whitman'S Candies  Inc.,11,0,0.0,5.5,46.4
780,Yum Yum,11,0,0.0,5.0,2.0
781,Zachary Confections  Inc.,11,0,0.0,1.3,56.1
782,Aryzta  Llc,10,0,0.0,4.7,36.3
783,Audrey'S Patisserie,10,0,0.0,3.6,24.6
784,Baker Maid Products  Inc.,10,0,0.0,5.4,33.5
785,Best Buy,10,0,0.0,7.0,37.9
786,Chifles,10,0,0.0,3.2,1.8
787,Dilettante Chocolates,10,0,0.0,6.0,46.1
788,Drake'S,10,0,0.0,3.2,34.2
789,Elmer Chocolate,10,0,0.0,2.5,57.4
790,Funyuns,10,0,0.0,5.6,2.2
791,Galerie Au Chocolat,10,0,0.0,7.9,34.2
792,Gardners Candies Inc.,10,0,0.0,8.1,40.9
793,Ginger Evans Bakery,10,0,0.0,4.4,27.5
794,Gushers,10,0,0.0,0.0,44.6
795,Hawaiian,10,0,0.0,4.6,4.1
796,Husman'S,10,0,0.0,6.1,3.9
797,Ingles Markets Inc.,10,0,0.0,5.6,35.6
798,La Petite Bretonne,10,0,0.0,7.4,21.7
799,Lay’S,10,0,0.0,6.2,3.8
800,Loriet Ltd.,10,0,0.0,8.4,46.6
801,Madelaine Chocolate Novelties,10,0,0.0,6.7,53.4
802,Matt'S Cookies,10,0,0.0,5.3,32.5
803,Mike-Sell'S Potato Chip Co.,10,0,0.0,6.5,2.8
804,Mrs. Fields,10,0,0.0,4.2,47.4
805,Otis Spunkmeyer,10,0,0.0,4.7,32.1
806,Pinnacle Foods Group Llc,10,0,0.0,7.0,7.4
807,Sainsbury'S Taste The Difference,10,0,0.0,8.0,31.2
808,Seattle Chocolate Company  Inc,10,0,0.0,6.0,39.9
809,Shur Fine,10,0,0.0,7.4,27.2
810,Spaans Cookie Company Inc.,10,0,0.0,3.4,63.3
811,Starburst,10,0,0.0,0.0,58.0
812,Wal-Mart Stores,10,0,0.0,2.9,36.0
813,Z O Z Group Inc.,10,0,0.0,5.3,17.2
814,Allan,9,0,0.0,0.8,59.8
815,Beech-Nut,9,0,0.0,6.8,37.2
816,Cheerios,9,0,0.0,7.9,21.8
817,Cofféa,9,0,0.0,7.0,31.8
818,Country Kitchen,9,0,0.0,4.5,21.3
819,Dierbergs,9,0,0.0,3.9,50.2
820,Eating Right,9,0,0.0,8.4,24.1
821,Ferrara,9,0,0.0,1.8,50.5
822,Fruit Roll-Ups,9,0,0.0,0.0,48.8
823,Imaginings 3,9,0,0.0,1.4,69.8
824,Junior Mints,9,0,0.0,1.5,79.6
825,Krispy Kreme,9,0,0.0,4.6,27.4
826,Krispy Kreme Doughnut Corporation,9,0,0.0,3.7,25.9
827,Lancaster,9,0,0.0,2.4,48.7
828,Lecour'S,9,0,0.0,4.3,32.1
829,Lik-M-Aid,9,0,0.0,0.0,86.4
830,Lindt & Sprüngli,9,0,0.0,6.0,40.0
831,Mancini,9,0,0.0,0.0,3.3
832,Markets Of Meijer,9,0,0.0,3.0,25.7
833,Nalley,9,0,0.0,0.0,14.4
834,R L Albert & Son Inc,9,0,0.0,2.7,60.6
835,Reser'S Fine Foods,9,0,0.0,2.3,5.3
836,Rolo,9,0,0.0,4.4,62.9
837,Seattle Chocolates,9,0,0.0,5.0,43.1
838,Sweet Candy Company,9,0,0.0,0.0,59.4
839,Taffy Town  Inc.,9,0,0.0,0.0,46.4
840,Tim'S,9,0,0.0,7.1,2.0
841,Valentino,9,0,0.0,6.2,20.6
842,Air Heads,8,0,0.0,0.2,62.6
843,Applesnax,8,0,0.0,0.0,14.3
844,Asher'S Chocolates,8,0,0.0,5.3,53.1
845,Aunt Jemima,8,0,0.0,9.5,14.2
846,Austin,8,0,0.0,7.3,11.4
847,B&G,8,0,0.0,0.0,8.4
848,Bakery Fresh,8,0,0.0,4.2,27.1
849,Ball Park,8,0,0.0,35.9,22.9
850,Ballreich'S,8,0,0.0,6.7,8.9
851,Barrel O' Fun Snack Foods Company,8,0,0.0,6.7,2.2
852,Brady Enterprises Inc,8,0,0.0,5.6,55.7
853,Cafe Valley Inc,8,0,0.0,3.5,34.3
854,Carnaby Sweet,8,0,0.0,2.8,58.6
855,Combos,8,0,0.0,6.6,12.8
856,Dreamhouse Fine Foods,8,0,0.0,4.5,56.8
857,Dryden & Palmer Inc,8,0,0.0,0.0,100.0
858,Fannie May Confections  Inc.,8,0,0.0,3.5,51.5
859,Fibre 1,8,0,0.0,6.0,35.6
860,Ford Gum & Machine Company  Inc.,8,0,0.0,0.0,77.2
861,Foreign Candy Co. Inc.,8,0,0.0,1.1,60.6
862,Hacendado,8,0,0.0,5.0,25.6
863,Hall Of Fame Candy/Nuts Inc,8,0,0.0,3.3,56.5
864,Hawaiian Host,8,0,0.0,5.0,45.8
865,Healthy Food Brands Llc,8,0,0.0,4.3,47.5
866,Hilco Corporation,8,0,0.0,3.0,67.3
867,Häagen-Dazs,8,0,0.0,4.3,22.3
868,Interbake Foods Inc.,8,0,0.0,4.9,31.2
869,Jerry'S Nut House  Inc.,8,0,0.0,4.1,56.3
870,Joy Cone Co.,8,0,0.0,5.3,20.2
871,Kencraft  Inc.,8,0,0.0,0.0,82.6
872,Ksf Acquisition Corporation,8,0,0.0,10.0,15.1
873,Landies Candies Co. Inc.,8,0,0.0,7.4,42.1
874,Leclerc 🇨🇦,8,0,0.0,4.7,33.5
875,Liberty Orchards Co Inc,8,0,0.0,1.9,61.5
876,Lunds Inc,8,0,0.0,6.8,48.0
877,Mario,8,0,0.0,1.0,0.3
878,Mckee Foods,8,0,0.0,3.9,36.6
879,Natura,8,0,0.0,2.2,7.8
880,Noisebusters Inc.,8,0,0.0,4.0,27.5
881,Ohio Baking Co Inc,8,0,0.0,8.1,30.5
882,Olson'S Baking Company  Llc,8,0,0.0,3.2,24.5
883,Overjoyed,8,0,0.0,4.5,41.8
884,Pennsylvania Dutch Co Inc,8,0,0.0,3.8,54.7
885,Pocky,8,0,0.0,6.5,31.1
886,Prairie Farms,8,0,0.0,5.9,19.1
887,Price First,8,0,0.0,7.8,13.6
888,Ragolds,8,0,0.0,0.6,63.7
889,Rocky Mountain,8,0,0.0,2.0,65.4
890,Route 11,8,0,0.0,7.1,3.1
891,Royal,8,0,0.0,5.1,33.1
892,Safeway Kitchens,8,0,0.0,4.3,24.7
893,Seattle Chocolate Company,8,0,0.0,6.7,42.5
894,Snack Planet,8,0,0.0,4.6,28.6
895,So Fit,8,0,0.0,25.6,16.7
896,Supervalu,8,0,0.0,5.9,46.5
897,The Hershey Company,8,0,0.0,4.9,51.0
898,Tootsie Roll Industries Inc.,8,0,0.0,0.6,66.2
899,Very Special Chocolates  Inc.,8,0,0.0,6.3,41.9
900,Walker'S,8,0,0.0,5.1,20.5
901,Weight Watchers,8,0,0.0,7.1,25.0
902,Abe'S,7,0,0.0,3.0,33.0
903,Akiyama Tsukemono Calif.  Inc.,7,0,0.0,3.5,1.5
904,America'S Original,7,0,0.0,0.0,76.8
905,Andes Candies L.P.,7,0,0.0,4.2,56.0
906,Archway,7,0,0.0,4.1,38.6
907,Atkinson Candy Company,7,0,0.0,6.4,50.5
908,Barbaras,7,0,0.0,6.0,15.7
909,Bare Snacks,7,0,0.0,2.7,61.7
910,Benton'S,7,0,0.0,5.7,32.7
911,Bill Knapp'S,7,0,0.0,3.0,30.7
912,Botan,7,0,0.0,5.7,13.5
913,Chips Ahoy,7,0,0.0,4.4,29.5
914,Choceur,7,0,0.0,6.9,43.7
915,Chocolate Chocolate Chocolate,7,0,0.0,2.5,59.1
916,Clear Value,7,0,0.0,2.0,67.8
917,Cloverhill Bakery,7,0,0.0,4.9,28.1
918,Country Baker,7,0,0.0,2.9,14.7
919,Danone,7,0,0.0,3.0,16.2
920,Dianne'S Fine Desserts  Inc.,7,0,0.0,4.6,23.9
921,Famous Brands International,7,0,0.0,4.4,48.6
922,Farman'S,7,0,0.0,0.0,9.8
923,Hershey'S Kisses,7,0,0.0,7.8,51.3
924,Hot Tamales,7,0,0.0,0.0,52.9
925,Ira M. Middleswarth & Son  Inc.,7,0,0.0,7.1,4.1
926,Jeff'S Naturals,7,0,0.0,0.5,0.5
927,Jj'S Bakery,7,0,0.0,2.9,29.5
928,Kashi 🇺🇸Solana Beach California,7,0,0.0,7.1,22.9
929,Kellogg,7,0,0.0,6.4,22.8
930,Kenny'S Candy Company Inc.,7,0,0.0,3.6,39.8
931,Leaf  Inc.,7,0,0.0,2.5,62.0
932,Lidl,7,0,0.0,5.9,33.1
933,Life Savers,7,0,0.0,2.0,67.8
934,Little Bites,7,0,0.0,4.1,31.6
935,Magnum,7,0,0.0,2.8,27.8
936,Metro Candy Sales,7,0,0.0,0.7,56.9
937,Nickles,7,0,0.0,5.9,24.3
938,North Coast,7,0,0.0,0.0,10.8
939,Olson'S Baking Company,7,0,0.0,4.3,21.6
940,Pc,7,0,0.0,5.3,23.5
941,Purdys,7,0,0.0,6.8,38.4
942,Racine Danish Kringles,7,0,0.0,3.7,25.7
943,Razzles,7,0,0.0,0.0,89.8
944,Ready Pac Produce  Inc.,7,0,0.0,3.7,11.6
945,Sable & Rosenfeld,7,0,0.0,2.8,5.2
946,Sabrina'S,7,0,0.0,5.4,24.3
947,Seattle Chocolate,7,0,0.0,6.1,43.8
948,Southern Gourmet,7,0,0.0,4.1,72.2
949,Squirrel Brand,7,0,0.0,14.1,22.1
950,Stretch Island Fruit Co.,7,0,0.0,0.0,65.3
951,Sweet Tarts,7,0,0.0,0.8,58.7
952,The Promotion In Motion Companies  Inc.,7,0,0.0,4.8,55.2
953,Tiptree,7,0,0.0,0.2,49.3
954,United States Bakery,7,0,0.0,4.3,32.4
955,Walgreen Co.,7,0,0.0,5.7,30.6
956,Western Family Foods  Inc.,7,0,0.0,5.2,30.5
957,Wrigley,7,0,0.0,0.5,49.3
958,Almond Breeze,6,0,0.0,0.9,4.8
959,Almond Joy,6,0,0.0,5.9,45.1
960,Ames International  Inc.,6,0,0.0,5.4,51.9
961,Artisan Fresh,6,0,0.0,4.6,30.0
962,Bashas' Markets,6,0,0.0,4.5,45.5
963,Ben & Jerry'S,6,0,0.0,4.0,24.4
964,Bickel'S Snack Foods  Inc.,6,0,0.0,6.6,2.4
965,Cake Boss,6,0,0.0,4.8,44.5
966,Caldo International Inc.,6,0,0.0,7.9,20.6
967,Cascadian Farm Organic,6,0,0.0,9.8,25.3
968,Chocolate Chocolate Chocolate Company,6,0,0.0,4.2,49.2
969,Clement Faugier,6,0,0.0,1.3,42.4
970,Cookie Specialties  Inc.,6,0,0.0,7.4,32.9
971,Crayola,6,0,0.0,0.0,87.8
972,Csm Bakery Products Na  Inc.,6,0,0.0,4.5,27.3
973,"Dirty""""",6,0,0.0,7.1,2.9
974,Embasa,6,0,0.0,0.5,1.2
975,Empacadora Emsanmar San Marcos,6,0,0.0,0.0,3.3
976,Esther Price,6,0,0.0,5.5,58.5
977,Euro-American Brands  Llc,6,0,0.0,6.7,43.9
978,Faraon,6,0,0.0,4.9,0.7
979,First Row Software Publishing,6,0,0.0,6.5,30.5
980,Gerrit J Verburg Company,6,0,0.0,2.7,60.8
981,Giant,6,0,0.0,5.3,58.9
982,Giuliano,6,0,0.0,0.0,0.0
983,Goetze'S Candy Co Inc.,6,0,0.0,5.2,35.4
984,Green & Black'S,6,0,0.0,9.0,35.9
985,Honey Maid,6,0,0.0,5.8,22.7
986,Hood,6,0,0.0,3.3,13.1
987,Howe,6,0,0.0,1.4,51.5
988,Hy-Top,6,0,0.0,7.8,26.3
989,Impact Confections  Inc.,6,0,0.0,0.4,56.4
990,Jammie Dodgers,6,0,0.0,6.4,35.0
991,Jell-O,6,0,0.0,0.9,53.5
992,Jennies,6,0,0.0,3.4,29.6
993,Kara Chocolates,6,0,0.0,4.7,55.7
994,Kars,6,0,0.0,15.5,29.2
995,Kurtz,6,0,0.0,0.0,4.8
996,La Costeña,6,0,0.0,2.2,2.0
997,Liberty Orchards Co.  Inc.,6,0,0.0,0.8,50.4
998,Marián,6,0,0.0,5.9,20.9
999,Michigan Made,6,0,0.0,4.6,1.6
1000,Milwaukee'S,6,0,0.0,0.0,7.7
1001,Moon Pie,6,0,0.0,3.9,33.0
1002,Nishiki,6,0,0.0,6.7,0.0
1003,No Manufaturer,6,0,0.0,5.5,37.3
1004,No Manufracturer,6,0,0.0,8.3,37.7
1005,Nongshim,6,0,0.0,4.5,15.7
1006,Our Specialty,6,0,0.0,4.8,42.0
1007,R.A.B. Food Group  Llc,6,0,0.0,4.1,9.5
1008,Rare Fare Foods,6,0,0.0,11.9,32.8
1009,Rayge Candy Co. Inc.,6,0,0.0,2.6,56.4
1010,S&W,6,0,0.0,5.2,1.0
1011,San Miguel,6,0,0.0,6.1,0.4
1012,Sconza Candy Co.,6,0,0.0,5.4,60.0
1013,Sechler'S,6,0,0.0,0.0,31.7
1014,Seoul,6,0,0.0,1.8,6.3
1015,Snack Pack,6,0,0.0,0.7,12.1
1016,Soofer Co. Inc.,6,0,0.0,2.8,38.3
1017,Spree,6,0,0.0,0.0,79.7
1018,St. Dalfour,6,0,0.0,0.9,38.1
1019,Sun Maid,6,0,0.0,3.0,52.6
1020,Sunchips,6,0,0.0,7.7,8.4
1021,Tootsie Roll,6,0,0.0,0.0,51.7
1022,White Rose,6,0,0.0,5.8,7.5
1023,Wilkin & Sons,6,0,0.0,0.2,65.6
1024,World Confections  Inc.,6,0,0.0,0.0,74.1
1025,1 Step Software  Inc.,5,0,0.0,2.4,18.8
1026,A Angonoa Inc,5,0,0.0,13.3,6.7
1027,Andy Capp'S,5,0,0.0,4.3,4.3
1028,Ardmore Farms,5,0,0.0,0.4,3.3
1029,August Storck Kg,5,0,0.0,3.7,42.7
1030,Barbara'S,5,0,0.0,6.8,22.9
1031,Barilla,5,0,0.0,7.9,13.1
1032,Bergin Fruit And Nut Company,5,0,0.0,10.3,36.0
1033,Best Maid,5,0,0.0,3.1,19.3
1034,Bloom Packaging Corp.,5,0,0.0,3.8,28.6
1035,Bonduelle,5,0,0.0,3.5,3.8
1036,Breyers,5,0,0.0,3.2,20.6
1037,Bridgford,5,0,0.0,38.1,20.4
1038,Brimhall Foods Co. Inc.,5,0,0.0,4.3,5.7
1039,Burton'S,5,0,0.0,25.7,31.6
1040,California Garden,5,0,0.0,5.2,1.0
1041,Cantalou Sa,5,0,0.0,4.5,50.2
1042,Carl Kuhne,5,0,0.0,0.9,9.1
1043,Charleston Chew,5,0,0.0,2.4,57.4
1044,Chester A. Asher  Inc.,5,0,0.0,8.6,43.2
1045,Chimes,5,0,0.0,1.2,55.7
1046,Chukar Fruit Inc.,5,0,0.0,4.0,51.0
1047,Clemente Biscottificio,5,0,0.0,11.4,27.9
1048,Club,5,0,0.0,6.5,8.1
1049,Conn'S,5,0,0.0,2.8,12.8
1050,Continental Mills  Inc.,5,0,0.0,3.8,2.1
1051,Cottondale,5,0,0.0,1.9,71.6
1052,Cracker Jack'D,5,0,0.0,16.4,20.0
1053,Crous Languedoc Roussillon,5,0,0.0,3.5,11.9
1054,Crunch 'N Munch,5,0,0.0,6.0,40.9
1055,Cry Baby,5,0,0.0,0.0,54.7
1056,Dentyne,5,0,0.0,0.0,0.0
1057,Dilettante,5,0,0.0,4.2,43.2
1058,Eatz,5,0,0.0,10.3,33.8
1059,Euphoria Chocolate Company,5,0,0.0,5.3,42.2
1060,Famous Amos,5,0,0.0,4.2,31.5
1061,Flax4Life,5,0,0.0,8.8,24.9
1062,Fruit Gushers,5,0,0.0,0.0,43.4
1063,Funables,5,0,0.0,4.3,54.3
1064,Galil,5,0,0.0,6.6,24.3
1065,Gardners Candies,5,0,0.0,10.2,43.6
1066,Gedney Foods Co.,5,0,0.0,0.0,13.4
1067,Glencourt Inc.,5,0,0.0,2.6,22.3
1068,Glucerna,5,0,0.0,21.0,15.0
1069,Goetze'S Candy Co.  Inc.,5,0,0.0,4.0,37.8
1070,International Golden Foods Inc,5,0,0.0,3.7,39.2
1071,Jiffy,5,0,0.0,5.1,20.6
1072,Krinos Foods Inc.,5,0,0.0,0.0,1.3
1073,Kühne,5,0,0.0,0.2,7.9
1074,Labree'S Bakery  Inc.,5,0,0.0,3.1,37.3
1075,Landies Candies,5,0,0.0,6.7,40.0
1076,Laredo Packing Company,5,0,0.0,2.0,57.5
1077,Lehi Roller Mills Co. Inc.,5,0,0.0,5.6,54.4
1078,Ligo,5,0,0.0,7.1,19.8
1079,Lindt Lindor,5,0,0.0,4.8,34.7
1080,Lucky Charms,5,0,0.0,5.4,45.4
1081,Lucky Leaf,5,0,0.0,0.0,15.1
1082,Lunchables,5,0,0.0,11.8,10.6
1083,M&M’S,5,0,0.0,5.3,61.2
1084,Manner,5,0,0.0,4.6,41.0
1085,Maple Donuts Inc,5,0,0.0,2.9,21.0
1086,Mc Cain,5,0,0.0,2.2,0.3
1087,Melster Candies,5,0,0.0,0.5,46.5
1088,Middleswarth,5,0,0.0,6.9,4.2
1089,Mister Snacks  Inc.,5,0,0.0,7.3,36.4
1090,Mondelez International,5,0,0.0,6.0,41.8
1091,Monster,5,0,0.0,8.1,43.9
1092,Mount Franklin Foods Llc,5,0,0.0,5.2,57.1
1093,Mulino Bianco,5,0,0.0,6.0,22.0
1094,Munchos,5,0,0.0,3.4,0.0
1095,Napoleon,5,0,0.0,0.3,14.7
1096,Nash Finch Company,5,0,0.0,10.9,22.4
1097,Natrel,5,0,0.0,4.0,13.5
1098,Nestlé Toll House,5,0,0.0,4.1,44.7
1099,Now And Later,5,0,0.0,0.0,63.0
1100,Payday,5,0,0.0,13.0,39.5
1101,Pc • Loblaws,5,0,0.0,8.8,29.3
1102,Peddler'S Pantry,5,0,0.0,6.4,2.5
1103,Piedmont Candy Company Inc.,5,0,0.0,0.0,93.3
1104,Pirouline,5,0,0.0,3.9,46.0
1105,Poptarts,5,0,0.0,4.0,32.7
1106,R. W. Garcia Company,5,0,0.0,7.1,0.7
1107,Red Vines,5,0,0.0,2.8,41.5
1108,Ricolino,5,0,0.0,2.8,56.8
1109,Rovira Biscuits,5,0,0.0,6.7,16.0
1110,Russell Stover Candies Inc.,5,0,0.0,4.7,50.8
1111,San Marcos,5,0,0.0,1.1,5.0
1112,Santitas,5,0,0.0,5.7,0.0
1113,Sarris Candies  Inc.,5,0,0.0,7.9,47.1
1114,Sclafani,5,0,0.0,5.9,14.7
1115,Seitenbacher,5,0,0.0,6.6,41.8
1116,Smith'S Food & Drug Centers Inc.,5,0,0.0,5.0,28.0
1117,Specialty Bakers  Llc,5,0,0.0,3.4,18.4
1118,Spike'S Baking Co. Inc.,5,0,0.0,10.5,16.7
1119,Svenhard'S,5,0,0.0,4.6,32.3
1120,Sweet P'S Bake Shop,5,0,0.0,5.7,36.0
1121,Sweet Treats,5,0,0.0,0.0,55.2
1122,Taffy Town,5,0,0.0,0.0,45.0
1123,Tillen Farms,5,0,0.0,0.7,6.0
1124,Tony Packo'S,5,0,0.0,0.0,21.4
1125,Torn Ranch  Inc.,5,0,0.0,4.3,39.3
1126,Town House,5,0,0.0,5.2,6.2
1127,Tree Top,5,0,0.0,0.1,33.6
1128,V8,5,0,0.0,16.3,24.3
1129,Wonderful Pistachios,5,0,0.0,21.5,9.6
1130,World'S Finest Chocolate  Inc.,5,0,0.0,3.8,60.6
1131,Zoet,5,0,0.0,5.5,37.4
