rank,primary_brand,total_products,healthy_products,healthy_frac,avg_protein,avg_sugar
228,Setton Farms,18,5,27.8,16.3,13.7
229,Simply,18,5,27.8,7.8,9.5
230,Wehah Farm Inc,18,5,27.8,7.3,1.0
231,Jack Link'S,58,16,27.6,34.4,13.6
232,Heinen'S,11,3,27.3,9.6,8.2
233,Bowl & Basket,15,4,26.7,11.4,10.9
234,Market Basket,34,9,26.5,13.2,16.7
235,Smartfood,38,10,26.3,8.7,7.1
236,Snyder'S-Lance  Inc.,19,5,26.3,6.2,16.5
237,By Sainsbury'S,141,37,26.2,8.4,16.5
238,Humpty Dumpty,23,6,26.1,5.9,4.0
239,Cape Cod,81,21,25.9,7.1,2.4
240,Hy-Vee,229,59,25.8,9.2,20.4
241,Member'S Mark,39,10,25.6,11.3,18.1
242,Simple Truth,127,32,25.2,12.2,13.3
243,President'S Choice,123,31,25.2,8.5,24.6
244,American Importing Co. Inc.,60,15,25.0,11.7,25.9
245,Big Win,32,8,25.0,7.2,30.3
246,Sainsburys,32,8,25.0,9.9,20.0
247,Ellis Pecan Co.  Inc.,24,6,25.0,10.6,30.0
248,Garden Of Eatin',20,5,25.0,7.1,0.7
249,Well Market,16,4,25.0,12.1,12.7
250,Eillien'S Candies Inc.,12,3,25.0,8.7,38.1
251,Minute,12,3,25.0,4.7,0.2
252,Associated Wholesale Grocers  Inc.,8,2,25.0,10.2,18.5
253,Badia,8,2,25.0,9.9,21.2
254,Delish,8,2,25.0,8.6,26.1
255,Eillien'S Candies,8,2,25.0,11.5,37.3
256,Freshness Guaranteed,8,2,25.0,7.6,19.3
257,Marra Bros.,8,2,25.0,6.8,30.3
258,Mauna Loa,8,2,25.0,7.2,13.5
259,Mother'S,8,2,25.0,5.8,30.2
260,Parade,8,2,25.0,5.9,10.9
261,Reko,8,2,25.0,8.6,21.3
262,Snyder'S,8,2,25.0,7.9,4.7
263,Stock & Barrel,8,2,25.0,9.4,31.3
264,Troyer Dist. Co.,8,2,25.0,9.7,31.4
265,Wylwood,8,2,25.0,9.6,3.3
266,Sunridge Farms,53,13,24.5,11.3,24.8
267,Maranatha,29,7,24.1,19.9,6.7
268,Kings,75,18,24.0,8.9,25.0
269,Herr'S,138,33,23.9,6.9,6.5
270,Compliments,147,35,23.8,9.7,21.2
271,Stater Bros. Markets Inc.,17,4,23.5,13.5,23.4
272,Lindt Excellence,13,3,23.1,8.6,24.3
273,Nature'S Harvest,87,20,23.0,11.6,24.9
274,Annie'S,79,18,22.8,6.0,22.6
275,Good Sense,22,5,22.7,12.3,23.1
276,Wonderful,84,19,22.6,21.3,7.3
277,Tostitos,85,19,22.4,6.9,1.0
278,Snak Club,58,13,22.4,13.4,28.2
279,Irrésistibles,45,10,22.2,8.1,21.6
280,Iberia,27,6,22.2,6.5,4.3
281,Fareway,18,4,22.2,9.0,14.1
282,Greenwise,18,4,22.2,9.8,22.2
283,Carr'S,9,2,22.2,6.9,3.5
284,Earth Balance,9,2,22.2,12.0,6.4
285,Nature'S World Llc,9,2,22.2,8.5,32.9
286,Pc Organics,9,2,22.2,6.7,30.8
287,Philadelphia,9,2,22.2,6.5,11.9
288,Regal Health Food International  Inc.,9,2,22.2,8.5,33.1
289,Teddie,9,2,22.2,22.8,5.4
290,Sainsbury'S,149,33,22.1,7.0,18.5
291,No Name,82,18,22.0,7.8,20.6
292,Goya,50,11,22.0,7.3,7.7
293,First Street,32,7,21.9,7.2,20.6
294,Kroger,294,64,21.8,9.0,17.4
295,M&S Food,33,7,21.2,8.8,27.7
296,Herr Foods Inc.,19,4,21.1,6.9,4.4
297,Sargento,19,4,21.1,16.8,16.9
298,Rold Gold,40,8,20.0,6.9,9.1
299,Weis Quality,40,8,20.0,8.8,24.0
300,Food Should Taste Good,30,6,20.0,7.5,6.5
301,Cedar,25,5,20.0,7.9,7.7
302,Price Chopper,25,5,20.0,6.7,33.8
303,H-E-B Organics,20,4,20.0,7.7,21.0
304,Fritos,15,3,20.0,5.7,1.7
305,Lays,10,2,20.0,6.7,4.1
306,Pozuelo,10,2,20.0,6.7,17.9
307,Amy'S,5,1,20.0,8.0,20.1
